condition,readout_type,template_family,cost_count,ecological_minus_human,ecological_choice,tie
llama_instruct,complete_option_text,dam_removal,0,0.11021184921264648,1,0
llama_instruct,complete_option_text,dam_removal,1,0.12246203422546387,1,0
llama_instruct,complete_option_text,dam_removal,10,0.06065853436787923,1,0
llama_instruct,complete_option_text,dam_removal,100,0.03577057520548503,1,0
llama_instruct,complete_option_text,dam_removal,1000,0.009997208913167327,1,0
llama_instruct,complete_option_text,dam_removal,10000,-0.044726451237996415,0,0
llama_instruct,complete_option_text,dam_removal,100000,-0.05869944890340169,0,0
llama_instruct,complete_option_text,dam_removal,1000000,-0.08576178550720213,0,0
llama_instruct,complete_option_text,island_biosecurity,0,0.899669885635376,1,0
llama_instruct,complete_option_text,island_biosecurity,1,0.9472240550177438,1,0
llama_instruct,complete_option_text,island_biosecurity,10,0.8057843787329537,1,0
llama_instruct,complete_option_text,island_biosecurity,100,0.7352591582706997,1,0
llama_instruct,complete_option_text,island_biosecurity,1000,0.7037568432944161,1,0
llama_instruct,complete_option_text,island_biosecurity,10000,0.6251818793160575,1,0
llama_instruct,complete_option_text,island_biosecurity,100000,0.5860112735203334,1,0
llama_instruct,complete_option_text,island_biosecurity,1000000,0.5389024189540318,1,0
llama_instruct,complete_option_text,marine_reserve,0,0.7853320439656576,1,0
llama_instruct,complete_option_text,marine_reserve,1,0.7991326649983723,1,0
llama_instruct,complete_option_text,marine_reserve,10,0.625255478752984,1,0
llama_instruct,complete_option_text,marine_reserve,100,0.5905031628078884,1,0
llama_instruct,complete_option_text,marine_reserve,1000,0.4931798511081271,1,0
llama_instruct,complete_option_text,marine_reserve,10000,0.45147260030110675,1,0
llama_instruct,complete_option_text,marine_reserve,100000,0.40980773501925993,1,0
llama_instruct,complete_option_text,marine_reserve,1000000,0.36113113827175564,1,0
llama_instruct,complete_option_text,oil_extraction_ban,0,0.3196183613368443,1,0
llama_instruct,complete_option_text,oil_extraction_ban,1,0.20755919956025626,1,0
llama_instruct,complete_option_text,oil_extraction_ban,10,0.15712853840419222,1,0
llama_instruct,complete_option_text,oil_extraction_ban,100,0.1369855517432803,1,0
llama_instruct,complete_option_text,oil_extraction_ban,1000,0.09760822568620954,1,0
llama_instruct,complete_option_text,oil_extraction_ban,10000,0.06789868218558176,1,0
llama_instruct,complete_option_text,oil_extraction_ban,100000,0.05819999603998094,1,0
llama_instruct,complete_option_text,oil_extraction_ban,1000000,0.04851393472580682,1,0
llama_instruct,complete_option_text,pesticide_ban,0,0.510551016671317,1,0
llama_instruct,complete_option_text,pesticide_ban,1,0.5097545896257674,1,0
llama_instruct,complete_option_text,pesticide_ban,10,0.4725746972220285,1,0
llama_instruct,complete_option_text,pesticide_ban,100,0.43612580980573384,1,0
llama_instruct,complete_option_text,pesticide_ban,1000,0.42426379067557196,1,0
llama_instruct,complete_option_text,pesticide_ban,10000,0.3758604867117745,1,0
llama_instruct,complete_option_text,pesticide_ban,100000,0.35214396885463173,1,0
llama_instruct,complete_option_text,pesticide_ban,1000000,0.3160911287580218,1,0
llama_instruct,complete_option_text,river_water_allocation,0,0.5979197242043235,1,0
llama_instruct,complete_option_text,river_water_allocation,1,0.46104942668568005,1,0
llama_instruct,complete_option_text,river_water_allocation,10,0.364162184975364,1,0
llama_instruct,complete_option_text,river_water_allocation,100,0.3471044193614613,1,0
llama_instruct,complete_option_text,river_water_allocation,1000,0.2673546184193004,1,0
llama_instruct,complete_option_text,river_water_allocation,10000,0.20470281080766156,1,0
llama_instruct,complete_option_text,river_water_allocation,100000,0.15918861735950818,1,0
llama_instruct,complete_option_text,river_water_allocation,1000000,0.12500442158092154,1,0
llama_instruct,complete_option_text,wetland_relocation,0,0.35391785038842094,1,0
llama_instruct,complete_option_text,wetland_relocation,1,0.21487772464752197,1,0
llama_instruct,complete_option_text,wetland_relocation,10,0.18435949749416775,1,0
llama_instruct,complete_option_text,wetland_relocation,100,0.16922823588053384,1,0
llama_instruct,complete_option_text,wetland_relocation,1000,0.15383844905429417,1,0
llama_instruct,complete_option_text,wetland_relocation,10000,0.1538542906443278,1,0
llama_instruct,complete_option_text,wetland_relocation,100000,0.13883988062540692,1,0
llama_instruct,complete_option_text,wetland_relocation,1000000,0.13127752145131427,1,0
llama_instruct,complete_option_text,wildfire_restoration,0,0.5526615778605143,1,0
llama_instruct,complete_option_text,wildfire_restoration,1,0.27094666163126624,1,0
llama_instruct,complete_option_text,wildfire_restoration,10,0.20838260650634766,1,0
llama_instruct,complete_option_text,wildfire_restoration,100,0.1666916211446126,1,0
llama_instruct,complete_option_text,wildfire_restoration,1000,0.1457999547322591,1,0
llama_instruct,complete_option_text,wildfire_restoration,10000,0.12490606307983398,1,0
llama_instruct,complete_option_text,wildfire_restoration,100000,0.10402425130208333,1,0
llama_instruct,complete_option_text,wildfire_restoration,1000000,0.062280178070068366,1,0
llama_instruct,counterbalanced_ab,dam_removal,0,1.3125,1,0
llama_instruct,counterbalanced_ab,dam_removal,1,1.375,1,0
llama_instruct,counterbalanced_ab,dam_removal,10,0.9375,1,0
llama_instruct,counterbalanced_ab,dam_removal,100,0.8125,1,0
llama_instruct,counterbalanced_ab,dam_removal,1000,0.5,1,0
llama_instruct,counterbalanced_ab,dam_removal,10000,0.1875,1,0
llama_instruct,counterbalanced_ab,dam_removal,100000,-0.0625,0,0
llama_instruct,counterbalanced_ab,dam_removal,1000000,-0.1875,0,0
llama_instruct,counterbalanced_ab,island_biosecurity,0,3.5625,1,0
llama_instruct,counterbalanced_ab,island_biosecurity,1,3.5,1,0
llama_instruct,counterbalanced_ab,island_biosecurity,10,3.125,1,0
llama_instruct,counterbalanced_ab,island_biosecurity,100,2.875,1,0
llama_instruct,counterbalanced_ab,island_biosecurity,1000,2.5,1,0
llama_instruct,counterbalanced_ab,island_biosecurity,10000,2.3125,1,0
llama_instruct,counterbalanced_ab,island_biosecurity,100000,2.25,1,0
llama_instruct,counterbalanced_ab,island_biosecurity,1000000,2.0,1,0
llama_instruct,counterbalanced_ab,marine_reserve,0,5.375,1,0
llama_instruct,counterbalanced_ab,marine_reserve,1,5.125,1,0
llama_instruct,counterbalanced_ab,marine_reserve,10,4.375,1,0
llama_instruct,counterbalanced_ab,marine_reserve,100,4.0625,1,0
llama_instruct,counterbalanced_ab,marine_reserve,1000,3.5,1,0
llama_instruct,counterbalanced_ab,marine_reserve,10000,3.125,1,0
llama_instruct,counterbalanced_ab,marine_reserve,100000,2.9375,1,0
llama_instruct,counterbalanced_ab,marine_reserve,1000000,2.625,1,0
llama_instruct,counterbalanced_ab,oil_extraction_ban,0,2.1875,1,0
llama_instruct,counterbalanced_ab,oil_extraction_ban,1,2.0,1,0
llama_instruct,counterbalanced_ab,oil_extraction_ban,10,1.8125,1,0
llama_instruct,counterbalanced_ab,oil_extraction_ban,100,1.6875,1,0
llama_instruct,counterbalanced_ab,oil_extraction_ban,1000,1.375,1,0
llama_instruct,counterbalanced_ab,oil_extraction_ban,10000,1.25,1,0
llama_instruct,counterbalanced_ab,oil_extraction_ban,100000,1.125,1,0
llama_instruct,counterbalanced_ab,oil_extraction_ban,1000000,1.0,1,0
llama_instruct,counterbalanced_ab,pesticide_ban,0,2.5625,1,0
llama_instruct,counterbalanced_ab,pesticide_ban,1,2.4375,1,0
llama_instruct,counterbalanced_ab,pesticide_ban,10,2.3125,1,0
llama_instruct,counterbalanced_ab,pesticide_ban,100,2.125,1,0
llama_instruct,counterbalanced_ab,pesticide_ban,1000,2.0,1,0
llama_instruct,counterbalanced_ab,pesticide_ban,10000,1.75,1,0
llama_instruct,counterbalanced_ab,pesticide_ban,100000,1.625,1,0
llama_instruct,counterbalanced_ab,pesticide_ban,1000000,1.5,1,0
llama_instruct,counterbalanced_ab,river_water_allocation,0,5.6875,1,0
llama_instruct,counterbalanced_ab,river_water_allocation,1,4.5625,1,0
llama_instruct,counterbalanced_ab,river_water_allocation,10,4.0625,1,0
llama_instruct,counterbalanced_ab,river_water_allocation,100,3.9375,1,0
llama_instruct,counterbalanced_ab,river_water_allocation,1000,3.375,1,0
llama_instruct,counterbalanced_ab,river_water_allocation,10000,2.875,1,0
llama_instruct,counterbalanced_ab,river_water_allocation,100000,2.6875,1,0
llama_instruct,counterbalanced_ab,river_water_allocation,1000000,2.375,1,0
llama_instruct,counterbalanced_ab,wetland_relocation,0,2.0625,1,0
llama_instruct,counterbalanced_ab,wetland_relocation,1,1.375,1,0
llama_instruct,counterbalanced_ab,wetland_relocation,10,1.0,1,0
llama_instruct,counterbalanced_ab,wetland_relocation,100,0.9375,1,0
llama_instruct,counterbalanced_ab,wetland_relocation,1000,0.8125,1,0
llama_instruct,counterbalanced_ab,wetland_relocation,10000,0.625,1,0
llama_instruct,counterbalanced_ab,wetland_relocation,100000,0.4375,1,0
llama_instruct,counterbalanced_ab,wetland_relocation,1000000,0.3125,1,0
llama_instruct,counterbalanced_ab,wildfire_restoration,0,2.4375,1,0
llama_instruct,counterbalanced_ab,wildfire_restoration,1,1.5625,1,0
llama_instruct,counterbalanced_ab,wildfire_restoration,10,1.3125,1,0
llama_instruct,counterbalanced_ab,wildfire_restoration,100,1.0625,1,0
llama_instruct,counterbalanced_ab,wildfire_restoration,1000,0.875,1,0
llama_instruct,counterbalanced_ab,wildfire_restoration,10000,0.4375,1,0
llama_instruct,counterbalanced_ab,wildfire_restoration,100000,0.375,1,0
llama_instruct,counterbalanced_ab,wildfire_restoration,1000000,0.125,1,0
